frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
0,0.0,1.914025068283081,0,640,480,3
1,0.387528259840578,0.006040811538696289,0,640,480,3
2,0.767458670890494,0.006438493728637695,0,640,480,3
3,1.1387451633761863,0.0060100555419921875,0,640,480,3
4,1.5026328651320848,0.0070722103118896484,0,640,480,3
5,1.8593263148039523,0.006742954254150391,0,640,480,3
6,2.2084608177118987,0.006575345993041992,0,640,480,3
7,2.5511439128242475,0.007829427719116211,0,640,480,3
8,2.8889803444415096,0.006479978561401367,0,640,480,3
9,3.2213582435013643,0.00664520263671875,0,640,480,3
10,3.5484919494665044,0.0070648193359375,0,640,480,3
11,3.8699621226831837,0.006320953369140625,0,640,480,3
12,4.183629817157341,0.00702667236328125,0,640,480,3
13,4.491244347432149,0.006462574005126953,0,640,480,3
14,4.795118277299207,0.006512641906738281,0,640,480,3
15,5.0917352340668804,0.006802558898925781,0,640,480,3
16,5.383748297845132,0.007033586502075195,0,640,480,3
17,5.671307679428663,0.007498025894165039,0,640,480,3
18,5.9537874414094185,0.006547689437866211,0,640,480,3
19,6.232451414318098,0.007076263427734375,0,640,480,3
20,6.502550911252349,0.006787776947021484,0,640,480,3
21,6.774198445771232,0.0069217681884765625,0,640,480,3
22,7.0393764712461,0.0066034793853759766,0,640,480,3
23,7.304157787811204,0.006709575653076172,0,640,480,3
24,7.560291160066386,0.007013082504272461,0,640,480,3
25,7.810463728407141,0.006776332855224609,0,640,480,3
26,8.056614143089323,0.006339311599731445,0,640,480,3
27,8.281339502705181,0.00977015495300293,0,640,480,3
28,8.518068031679183,0.008645772933959961,0,640,480,3
29,8.756290684670475,0.008306741714477539,0,640,480,3
30,9.000633045851833,0.0070836544036865234,0,640,480,3
31,9.224162384115733,0.006529569625854492,0,640,480,3
32,9.443782474106028,0.006525516510009766,0,640,480,3
33,9.64697994229879,0.00636601448059082,0,640,480,3
34,9.857665778041497,0.006460428237915039,0,640,480,3
35,10.064843223952687,0.00672459602355957,0,640,480,3
36,10.25681785360137,0.006712198257446289,1,640,480,3
37,10.457197014236453,0.006583213806152344,0,640,480,3
38,10.656328560089175,0.0064127445220947266,0,640,480,3
39,10.697655876005493,0.027476072311401367,0,640,480,3
40,10.860384201616679,0.01587986946105957,0,640,480,3
41,11.06302457486863,0.008241891860961914,0,640,480,3
42,11.271014246100654,0.0064411163330078125,0,640,480,3
43,11.478063260010503,0.006063699722290039,0,640,480,3
44,11.68181452773217,0.006161212921142578,0,640,480,3
45,11.886501677548559,0.005817413330078125,0,640,480,3
46,12.086381886800774,0.00574040412902832,0,640,480,3
47,12.272125131019742,0.006102085113525391,0,640,480,3
48,12.442756787545092,0.00588226318359375,0,640,480,3
49,12.592496174537413,0.006765842437744141,0,640,480,3
50,12.761193012654875,0.005836963653564453,0,640,480,3
51,12.92405536542578,0.005762338638305664,0,640,480,3
52,13.070725292730293,0.0057048797607421875,0,640,480,3
53,13.227276530018557,0.005753517150878906,0,640,480,3
54,13.375516104040551,0.006729841232299805,0,640,480,3
55,13.523023760388472,0.007319211959838867,0,640,480,3
56,13.662044443213915,0.007402658462524414,0,640,480,3
57,13.811962185634943,0.007475614547729492,0,640,480,3
58,13.956184158803453,0.008530139923095703,0,640,480,3
59,14.089666152076926,0.0077419281005859375,0,640,480,3
60,14.233750978768112,0.007489919662475586,0,640,480,3
61,14.375755878549697,0.007612705230712891,0,640,480,3
62,14.501611033916337,0.0077059268951416016,0,640,480,3
63,14.637472208644446,0.008147001266479492,1,640,480,3
64,14.773581347019656,0.007900238037109375,0,640,480,3
65,14.894332259885703,0.00859212875366211,0,640,480,3
66,15.028969729899469,0.008040666580200195,0,640,480,3
67,15.161299368991278,0.007695674896240234,0,640,480,3
68,15.273881516361286,0.008389472961425781,0,640,480,3
69,15.40263650164422,0.008241653442382812,0,640,480,3
70,15.527657488024161,0.008322477340698242,0,640,480,3
71,15.65113985399551,0.008477926254272461,0,640,480,3
72,15.760623394234873,0.008383512496948242,0,640,480,3
73,15.879778785646614,0.008538484573364258,0,640,480,3
74,15.998697747733468,0.009429693222045898,0,640,480,3
75,16.10582554971386,0.008827924728393555,1,640,480,3
76,16.222994121051496,0.008375167846679688,0,640,480,3
77,16.33928662042585,0.008458375930786133,0,640,480,3
78,16.43985500014623,0.008727550506591797,1,640,480,3
79,16.55200481309398,0.008764982223510742,0,640,480,3
80,16.664314436477145,0.008625030517578125,0,640,480,3
81,16.620434822745384,0.028217792510986328,0,640,480,3
82,16.7271170604685,0.011438846588134766,0,640,480,3
