frame_count,fps,model_time,num_faces,image_width,image_height,image_channels,avg_confidence
0,0.0,0.028508901596069336,1,640,480,3,0.043192893
1,0.387528259840578,0.02181386947631836,1,640,480,3,0.04504662
2,0.767458670890494,0.01754140853881836,1,640,480,3,0.047129136
3,1.1387451633761863,0.02116847038269043,1,640,480,3,0.04577514
4,1.5026328651320848,0.018960237503051758,1,640,480,3,0.045325182
5,1.8593263148039523,0.018602371215820312,1,640,480,3,0.05522518
6,2.2084608177118987,0.019582033157348633,1,640,480,3,0.053375352
7,2.5511439128242475,0.01813817024230957,1,640,480,3,0.05770396
8,2.8889803444415096,0.01719808578491211,1,640,480,3,0.05411925
9,3.2213582435013643,0.016761302947998047,1,640,480,3,0.055374723
10,3.5484919494665044,0.016003847122192383,1,640,480,3,0.054288015
11,3.8699621226831837,0.016567468643188477,1,640,480,3,0.053977724
12,4.183629817157341,0.017518281936645508,1,640,480,3,0.055218615
13,4.491244347432149,0.018749713897705078,1,640,480,3,0.054675635
14,4.795118277299207,0.01741623878479004,1,640,480,3,0.052574154
15,5.0917352340668804,0.018130064010620117,1,640,480,3,0.055308904
16,5.383748297845132,0.017942428588867188,1,640,480,3,0.057084743
17,5.671307679428663,0.016555309295654297,1,640,480,3,0.05787157
18,5.9537874414094185,0.017539501190185547,1,640,480,3,0.05157525
19,6.232451414318098,0.01712799072265625,1,640,480,3,0.05325828
20,6.502550911252349,0.019344091415405273,1,640,480,3,0.052780792
21,6.774198445771232,0.01608133316040039,1,640,480,3,0.053743105
22,7.0393764712461,0.016997575759887695,1,640,480,3,0.054260492
23,7.304157787811204,0.0157778263092041,1,640,480,3,0.049863663
24,7.560291160066386,0.017559051513671875,1,640,480,3,0.05249969
25,7.810463728407141,0.018532752990722656,1,640,480,3,0.05268885
26,8.056614143089323,0.018858909606933594,1,640,480,3,0.053462517
27,8.281339502705181,0.022045373916625977,1,640,480,3,0.052357487
28,8.518068031679183,0.0170137882232666,1,640,480,3,0.056461766
29,8.756290684670475,0.015275955200195312,1,640,480,3,0.057052135
30,9.000633045851833,0.01302647590637207,1,640,480,3,0.057067018
31,9.224162384115733,0.013066291809082031,1,640,480,3,0.05662581
32,9.443782474106028,0.012611865997314453,1,640,480,3,0.053589497
33,9.64697994229879,0.012807607650756836,1,640,480,3,0.059565965
34,9.857665778041497,0.01287698745727539,1,640,480,3,0.053534083
35,10.064843223952687,0.012637138366699219,1,640,480,3,0.05598589
36,10.25681785360137,0.012613773345947266,1,640,480,3,0.05957164
37,10.457197014236453,0.012975215911865234,1,640,480,3,0.060314126
38,10.656328560089175,0.012677669525146484,1,640,480,3,0.057784423
39,10.697655876005493,0.04116034507751465,1,640,480,3,0.05433142
40,10.860384201616679,0.0196840763092041,1,640,480,3,0.05444021
41,11.06302457486863,0.013585090637207031,1,640,480,3,0.053745426
42,11.271014246100654,0.012905359268188477,1,640,480,3,0.057792302
43,11.478063260010503,0.012809991836547852,1,640,480,3,0.059852697
44,11.68181452773217,0.013104677200317383,1,640,480,3,0.05578289
45,11.886501677548559,0.012533426284790039,1,640,480,3,0.056169823
46,12.086381886800774,0.013398885726928711,1,640,480,3,0.06011783
47,12.272125131019742,0.013097524642944336,1,640,480,3,0.054147758
48,12.442756787545092,0.013017654418945312,1,640,480,3,0.056783773
49,12.592496174537413,0.013286828994750977,1,640,480,3,0.054715175
50,12.761193012654875,0.012810945510864258,1,640,480,3,0.056198
51,12.92405536542578,0.012628316879272461,1,640,480,3,0.0576645
52,13.070725292730293,0.01262807846069336,1,640,480,3,0.058960695
53,13.227276530018557,0.01291799545288086,1,640,480,3,0.05704485
54,13.375516104040551,0.014188289642333984,1,640,480,3,0.056799173
