frame_count,fps,model_time,num_faces,image_width,image_height,image_channels,avg_confidence
0,0.0,0.031708717346191406,1,640,480,3,0.05223761
1,1.5170480110533207,0.02258443832397461,1,640,480,3,0.05144764
2,2.956286569853067,0.016347646713256836,1,640,480,3,0.049765836
3,4.332791572776808,0.014925479888916016,1,640,480,3,0.052776955
4,5.56461195150621,0.02397441864013672,1,640,480,3,0.049249396
5,6.80209101297104,0.0152130126953125,1,640,480,3,0.04875507
6,8.000340794139358,0.0139312744140625,1,640,480,3,0.051877003
7,9.139362214754154,0.01497030258178711,1,640,480,3,0.05393749
8,10.207758088313584,0.013376951217651367,1,640,480,3,0.048952848
9,11.090787081488724,0.01290273666381836,1,640,480,3,0.05068265
10,11.289261928498988,0.05248117446899414,1,640,480,3,0.05076061
11,11.763392784295808,0.04603099822998047,1,640,480,3,0.051643595
12,12.51649945389762,0.0218355655670166,1,640,480,3,0.050819244
13,13.319521497368997,0.016048192977905273,1,640,480,3,0.04973114
14,14.129031761308951,0.013907432556152344,1,640,480,3,0.048732925
15,14.920713220534498,0.013433456420898438,1,640,480,3,0.050049923
16,15.6918793208348,0.013379096984863281,1,640,480,3,0.04946285
17,16.28738348071276,0.013194084167480469,1,640,480,3,0.048768617
18,16.21061536697553,0.04916954040527344,1,640,480,3,0.05003035
19,16.433926837351056,0.04228091239929199,1,640,480,3,0.05320004
20,16.989726902036047,0.019590139389038086,1,640,480,3,0.054779634
21,17.59317049201939,0.015345573425292969,1,640,480,3,0.05313698
22,18.21866339812243,0.012993335723876953,1,640,480,3,0.05086131
23,18.814132102058032,0.01399374008178711,1,640,480,3,0.05087554
24,19.26413195785377,0.014505147933959961,1,640,480,3,0.0509492
25,19.052897075115304,0.05003476142883301,1,640,480,3,0.051592663
26,19.192024423162582,0.03872346878051758,1,640,480,3,0.049273495
27,19.62083617188047,0.01987004280090332,1,640,480,3,0.050239295
28,20.11171887830391,0.015092611312866211,1,640,480,3,0.04989251
29,20.615434574730067,0.01357126235961914,1,640,480,3,0.053683985
30,21.11259435548334,0.01326441764831543,1,640,480,3,0.053977475
31,20.901879656762944,0.04877161979675293,1,640,480,3,0.050299503
32,21.199969546838638,0.024550437927246094,1,640,480,3,0.05106998
33,21.523560184999443,0.022287845611572266,1,640,480,3,0.04920219
34,21.83647564529584,0.022322416305541992,1,640,480,3,0.05129496
35,22.154604357163866,0.02120232582092285,1,640,480,3,0.051909856
36,22.47710183941791,0.02055668830871582,1,640,480,3,0.05156873
37,22.81299078156077,0.017784595489501953,1,640,480,3,0.053401697
38,22.552676262967005,0.050043582916259766,1,640,480,3,0.0490319
39,22.808012384921415,0.022717714309692383,1,640,480,3,0.049536034
40,23.16163818334029,0.015938282012939453,1,640,480,3,0.04989096
41,23.546973048793912,0.013208389282226562,1,640,480,3,0.05070846
42,23.81828415808425,0.012976884841918945,1,640,480,3,0.05100022
43,23.99407927654996,0.01331329345703125,1,640,480,3,0.04955757
44,24.174586823410564,0.012964010238647461,1,640,480,3,0.049341716
45,24.275664513101965,0.01448965072631836,1,640,480,3,0.047846694
46,23.94889921298234,0.050899505615234375,1,640,480,3,0.051184837
47,23.8375346908708,0.04763960838317871,1,640,480,3,0.052216064
48,24.052293028862522,0.021956682205200195,1,640,480,3,0.051961996
49,24.346501615353485,0.015657663345336914,1,640,480,3,0.049837448
50,24.664858041507582,0.013444185256958008,1,640,480,3,0.049503997
51,24.9757526457184,0.013796329498291016,1,640,480,3,0.051946282
52,25.2822126105382,0.013844728469848633,1,640,480,3,0.049015056
53,25.47866450319678,0.013246774673461914,1,640,480,3,0.0502597
54,25.611822587014135,0.013095617294311523,1,640,480,3,0.050286103
55,25.22862032951109,0.0500180721282959,1,640,480,3,0.050862588
56,25.152703272000327,0.04339909553527832,1,640,480,3,0.05069631
57,25.333966871492773,0.02180647850036621,1,640,480,3,0.04880944
58,25.589080629340653,0.015538454055786133,1,640,480,3,0.05268902
59,25.86502759181568,0.013517141342163086,1,640,480,3,0.049524937
60,26.13819083733988,0.01341557502746582,1,640,480,3,0.05150963
61,26.38263253261267,0.013293743133544922,1,640,480,3,0.04744651
62,26.049450781167437,0.05065751075744629,1,640,480,3,0.047447745
63,26.054929871190172,0.03469204902648926,1,640,480,3,0.049898535
64,26.258542045191987,0.01795506477355957,1,640,480,3,0.050957754
65,26.49807977928323,0.014349699020385742,1,640,480,3,0.04803424
66,26.747426049747627,0.01360940933227539,1,640,480,3,0.0484416
67,26.995366898773224,0.013393640518188477,1,640,480,3,0.048910324
68,27.06258314353045,0.013175725936889648,1,640,480,3,0.047434274
69,26.729223240157665,0.05084562301635742,1,640,480,3,0.04921981
70,26.624041785779866,0.044240474700927734,1,640,480,3,0.05084711
71,26.773494674351078,0.021039247512817383,1,640,480,3,0.050159942
72,26.981233834170645,0.015218496322631836,1,640,480,3,0.050224375
73,27.20776529451705,0.013610601425170898,1,640,480,3,0.047952577
74,27.431663866009664,0.013456106185913086,1,640,480,3,0.052636396
75,27.636432641572092,0.014020681381225586,1,640,480,3,0.04876319
76,27.32970128588883,0.050286293029785156,1,640,480,3,0.050842725
77,27.184278572659885,0.04784274101257324,1,640,480,3,0.051120654
78,27.294676492189303,0.023056507110595703,1,640,480,3,0.04920332
79,27.475269232335126,0.016389131546020508,1,640,480,3,0.053380918
80,27.6799746450275,0.013881206512451172,1,640,480,3,0.05240123
81,27.893088267688032,0.012782573699951172,1,640,480,3,0.050105616
82,28.098953093538253,0.013074398040771484,1,640,480,3,0.050707188
83,27.822220566996638,0.04856514930725098,1,640,480,3,0.05129243
84,27.84098027133142,0.030710220336914062,1,640,480,3,0.05019994
85,27.99911286416078,0.0173947811126709,1,640,480,3,0.05304142
86,28.185630483570396,0.014327287673950195,1,640,480,3,0.05085991
87,28.38313230220877,0.013063669204711914,1,640,480,3,0.05025858
88,28.492855031553376,0.014876604080200195,1,640,480,3,0.049278956
89,28.227526108111697,0.04880547523498535,1,640,480,3,0.04931697
90,28.19392693681959,0.03626823425292969,1,640,480,3,0.049618777
91,28.329115974076686,0.01863408088684082,1,640,480,3,0.05171025
92,28.50017607839152,0.014561891555786133,1,640,480,3,0.050583936
93,28.67395049827083,0.0143890380859375,1,640,480,3,0.051800154
94,28.833518748370974,0.013659954071044922,1,640,480,3,0.051641516
95,28.54665208499828,0.050365447998046875,1,640,480,3,0.0500661
96,28.468746632774526,0.04101109504699707,1,640,480,3,0.05117645
97,28.585563263435457,0.019690513610839844,1,640,480,3,0.050124608
98,28.74674635303122,0.014415502548217773,1,640,480,3,0.052837323
99,28.915089432961853,0.013687372207641602,1,640,480,3,0.051401228
100,29.086422437945142,0.013235330581665039,1,640,480,3,0.05059859
101,28.8640953773263,0.04980015754699707,1,640,480,3,0.0472206
102,28.909266170410728,0.026800870895385742,1,640,480,3,0.050334886
103,29.043741552279645,0.0167086124420166,1,640,480,3,0.05018372
104,29.080251827117255,0.02702164649963379,1,640,480,3,0.050620493
105,29.2064107659507,0.017519474029541016,1,640,480,3,0.050331544
106,29.367272835841167,0.013080120086669922,1,640,480,3,0.052340765
107,29.447979027452092,0.013537406921386719,1,640,480,3,0.052383304
108,29.498430572337554,0.012801170349121094,1,640,480,3,0.051794473
109,29.204548937450802,0.04935765266418457,1,640,480,3,0.049920212
