frame_count,fps,model_time,num_faces,image_width,image_height,image_channels,avg_confidence
0,0.0,0.40802550315856934,1,640,480,3,0.051756892
1,0.7486269919548957,0.6803603172302246,1,640,480,3,0.049034607
2,1.1654787647598548,0.36617302894592285,1,640,480,3,0.048445955
3,1.4336974932963378,0.3624691963195801,1,640,480,3,0.05021523
4,1.6079636352065607,0.36840176582336426,1,640,480,3,0.051223654
5,1.7364952976846835,0.37381839752197266,1,640,480,3,0.048409414
6,1.8377422733555229,0.36847782135009766,1,640,480,3,0.0497219
7,1.9198749941884146,0.36313366889953613,1,640,480,3,0.05158114
8,1.9874896499820736,0.3612029552459717,1,640,480,3,0.0488122
9,2.0405005626294375,0.3676738739013672,1,640,480,3,0.049316343
10,2.0878452211422363,0.36005258560180664,1,640,480,3,0.049006943
11,2.1274371312823703,0.36307454109191895,1,640,480,3,0.049272314
12,2.1602592020144478,0.3662722110748291,1,640,480,3,0.050150756
13,2.189574530430298,0.36386919021606445,1,640,480,3,0.048207425
14,2.215019851349881,0.36490678787231445,1,640,480,3,0.049350727
15,2.239051676065482,0.36019110679626465,1,640,480,3,0.04923529
16,2.2597626868915315,0.3633387088775635,1,640,480,3,0.05013347
17,2.277638506211512,0.364973783493042,1,640,480,3,0.048358668
18,2.2947711235663775,0.36144471168518066,1,640,480,3,0.04830866
19,2.3087495660507984,0.3669703006744385,1,640,480,3,0.049766026
20,2.323019602477298,0.3612537384033203,1,640,480,3,0.04886264
21,2.3362256465850275,0.360584020614624,1,640,480,3,0.049539153
22,2.3462029941948472,0.36980271339416504,1,640,480,3,0.04952672
23,2.3574368599502433,0.3608574867248535,1,640,480,3,0.048981365
24,2.366973129409419,0.3645813465118408,1,640,480,3,0.05085502
25,2.3765037946173244,0.36087489128112793,1,640,480,3,0.04934886
26,2.3796237759389736,0.3879871368408203,1,640,480,3,0.05001742
27,2.386814479185965,0.3682849407196045,1,640,480,3,0.0483743
28,2.39472575371136,0.3623697757720947,1,640,480,3,0.04798743
29,2.4006564389685936,0.36975884437561035,1,640,480,3,0.04892685
30,2.403920088804482,0.3810617923736572,1,640,480,3,0.049242347
31,2.410758470796902,0.36041951179504395,1,640,480,3,0.04589198
32,2.4153432426947634,0.37160706520080566,1,640,480,3,0.0530264
33,2.4211029901206245,0.36362171173095703,1,640,480,3,0.052029707
34,2.426528021537627,0.36371684074401855,1,640,480,3,0.050907403
35,2.43125962200338,0.36583995819091797,1,640,480,3,0.047482952
36,2.436535311500493,0.3607828617095947,1,640,480,3,0.048329715
37,2.44039539283071,0.36832094192504883,1,640,480,3,0.04878579
38,2.4450340881209427,0.3617734909057617,1,640,480,3,0.045985885
39,2.4487053427265373,0.3664567470550537,1,640,480,3,0.04858471
40,2.4521141608507717,0.36704063415527344,1,640,480,3,0.047381237
41,2.456160188413941,0.361553430557251,1,640,480,3,0.04964252
42,2.459036931095087,0.36856794357299805,1,640,480,3,0.0489037
43,2.462917131116394,0.36048102378845215,1,640,480,3,0.049259886
44,2.4665592773067813,0.3607757091522217,1,640,480,3,0.047803804
45,2.469292421136532,0.36693334579467773,1,640,480,3,0.049788523
46,2.472637957921629,0.3612086772918701,1,640,480,3,0.04774947
47,2.475580756995252,0.3636033535003662,1,640,480,3,0.047438927
48,2.478416886600703,0.36233973503112793,1,640,480,3,0.045122568
49,2.4813982990325463,0.3610842227935791,1,640,480,3,0.047540646
50,2.4832861908259183,0.36922621726989746,1,640,480,3,0.045594998
51,2.48608278541217,0.36182093620300293,1,640,480,3,0.044489924
52,2.488056573015274,0.36728930473327637,1,640,480,3,0.04520954
53,2.490271664956565,0.36519932746887207,1,640,480,3,0.047082424
54,2.4928265660694735,0.3615865707397461,1,640,480,3,0.0458485
55,2.494340052292249,0.36960458755493164,1,640,480,3,0.045248583
56,2.489888175483772,0.42101454734802246,1,640,480,3,0.04533447
57,2.49170565660859,0.36706972122192383,1,640,480,3,0.04723897
58,2.4939156649059657,0.36252307891845703,1,640,480,3,0.04337885
59,2.4961150603388846,0.36189794540405273,1,640,480,3,0.04642548
60,2.496176432245798,0.38167619705200195,1,640,480,3,0.04416585
61,2.497864793490093,0.3652820587158203,1,640,480,3,0.047784008
62,2.499670636405787,0.3639047145843506,1,640,480,3,0.048089758
63,2.501390076346117,0.3636128902435303,1,640,480,3,0.048547372
64,2.5031930472421715,0.36252832412719727,1,640,480,3,0.048961595
65,2.504556766830897,0.36647462844848633,1,640,480,3,0.049330663
66,2.506162278478542,0.3639371395111084,1,640,480,3,0.04832039
67,2.5077135752554787,0.3638319969177246,1,640,480,3,0.048365455
68,2.5089974792381327,0.36602115631103516,1,640,480,3,0.049121045
69,2.5106634781025887,0.3617873191833496,1,640,480,3,0.048720244
70,2.5107861139561147,0.37860918045043945,1,640,480,3,0.045920134
71,2.5124279411608996,0.362062931060791,1,640,480,3,0.047454633
72,2.513950356825163,0.3630979061126709,1,640,480,3,0.04622243
73,2.5147607073436005,0.37038397789001465,1,640,480,3,0.045481782
