frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
145,14.55849494462126,0.054779767990112305,1,640,480,3
146,14.546534435864276,0.07193970680236816,1,640,480,3
147,14.531217966517916,0.07292604446411133,1,640,480,3
148,14.544398469901997,0.05468177795410156,1,640,480,3
149,14.557338358964747,0.05483579635620117,1,640,480,3
150,14.571371139830578,0.05389547348022461,1,640,480,3
151,14.583452874191439,0.05521869659423828,1,640,480,3
152,14.595193143910178,0.05536055564880371,1,640,480,3
153,14.608314737033563,0.054280996322631836,1,640,480,3
154,14.620798592903665,0.05456972122192383,1,640,480,3
155,14.616821821384757,0.0657954216003418,1,640,480,3
156,14.628100159086475,0.055181264877319336,1,640,480,3
157,14.63893070266145,0.0545802116394043,1,640,480,3
158,14.6346812513798,0.06591510772705078,1,640,480,3
159,14.628958102891652,0.06770849227905273,1,640,480,3
160,14.627904686002493,0.05796074867248535,1,640,480,3
161,14.639562377676732,0.05453920364379883,1,640,480,3
162,14.650882426645136,0.05485105514526367,1,640,480,3
163,14.661873562167301,0.05503106117248535,1,640,480,3
164,14.673020413383755,0.05490446090698242,1,640,480,3
165,14.677901722683798,0.05951666831970215,1,640,480,3
166,14.665069011108036,0.07314085960388184,1,640,480,3
167,14.652840820457607,0.07153892517089844,1,640,480,3
168,14.662869341885083,0.0553281307220459,1,640,480,3
169,14.654565186645343,0.06967830657958984,1,640,480,3
170,14.663472324193036,0.0560908317565918,1,640,480,3
171,14.671083623803924,0.05702662467956543,1,640,480,3
172,14.678024053337309,0.0572972297668457,1,640,480,3
173,14.685790354681826,0.05681109428405762,1,640,480,3
174,14.691041796551199,0.05874133110046387,1,640,480,3
175,14.700188263729281,0.055498361587524414,1,640,480,3
176,14.70934047673289,0.055477142333984375,1,640,480,3
177,14.719315633094883,0.0546565055847168,1,640,480,3
178,14.72769680517252,0.055937767028808594,1,640,480,3
179,14.735394459508099,0.056429147720336914,1,640,480,3
180,14.744247963980646,0.05517721176147461,1,640,480,3
181,14.747582342926982,0.0599520206451416,1,640,480,3
182,14.756384873897696,0.05527949333190918,1,640,480,3
183,14.764976005397246,0.05530595779418945,1,640,480,3
184,14.75726103704114,0.06915545463562012,1,640,480,3
185,14.765195247271931,0.055994510650634766,0,640,480,3
186,14.7740314469587,0.05511760711669922,0,640,480,3
187,14.777591083089385,0.05254006385803223,0,640,480,3
188,14.779092725828933,0.061240434646606445,0,640,480,3
189,14.779805517535085,0.062048912048339844,0,640,480,3
190,14.788779862291301,0.054700613021850586,0,640,480,3
191,14.796853199455013,0.05545687675476074,0,640,480,3
192,14.804414022560954,0.05587291717529297,0,640,480,3
193,14.811276987720666,0.05640125274658203,0,640,480,3
194,14.81898545761745,0.05556225776672363,0,640,480,3
195,14.802110436882442,0.07726502418518066,0,640,480,3
196,14.81005849504426,0.05545639991760254,0,640,480,3
197,14.817460216125873,0.05577492713928223,0,640,480,3
198,14.824705015532544,0.055884361267089844,0,640,480,3
199,14.823350077328886,0.0635678768157959,0,640,480,3
200,14.827634961955326,0.05847048759460449,0,640,480,3
201,14.832116065069853,0.05822134017944336,0,640,480,3
202,14.835617357528594,0.05917763710021973,0,640,480,3
203,14.842231500881345,0.05618429183959961,0,640,480,3
204,14.849816915932111,0.055231571197509766,0,640,480,3
205,14.857131620788717,0.0554349422454834,0,640,480,3
206,14.864647601634628,0.05518364906311035,1,640,480,3
207,14.872546071919857,0.054727792739868164,1,640,480,3
208,14.88050860021752,0.05466198921203613,1,640,480,3
209,14.886035123562511,0.05685257911682129,1,640,480,3
210,14.888683740279337,0.059346914291381836,1,640,480,3
211,14.896614568074616,0.05446767807006836,1,640,480,3
212,14.904086944195571,0.0547335147857666,1,640,480,3
213,14.909934947059266,0.05611586570739746,1,640,480,3
214,14.915863944375415,0.056252479553222656,1,640,480,3
215,14.922854857536045,0.055174827575683594,1,640,480,3
216,14.930422543952655,0.05462503433227539,1,640,480,3
217,14.938306847398778,0.05428433418273926,0,640,480,3
218,14.94599339848628,0.0542445182800293,0,640,480,3
219,14.954262210819682,0.05379819869995117,0,640,480,3
220,14.962147786566717,0.05400824546813965,0,640,480,3
221,14.969242053210102,0.05473041534423828,0,640,480,3
222,14.976598456927112,0.05435919761657715,0,640,480,3
223,14.98464642535527,0.05368995666503906,0,640,480,3
224,14.992155705317597,0.05408453941345215,0,640,480,3
225,14.992680784898958,0.061213016510009766,0,640,480,3
226,14.99991081510249,0.05436968803405762,0,640,480,3
227,15.007220278175483,0.05426502227783203,0,640,480,3
228,15.008712307769114,0.06017041206359863,0,640,480,3
229,15.014487381645282,0.05575370788574219,0,640,480,3
230,15.017319133477155,0.05862593650817871,0,640,480,3
231,15.021042111105182,0.05263209342956543,0,640,480,3
