frame_count,fps,model_time,num_faces,image_width,image_height,image_channels
0,0.0,1.9165301322937012,1,640,480,3
1,0.3950145134238222,0.007092475891113281,1,640,480,3
2,0.7862555102084429,0.009864091873168945,1,640,480,3
3,1.1760820090907484,0.006399869918823242,1,640,480,3
4,1.5637418629753999,0.006865978240966797,1,640,480,3
5,1.9495108634824052,0.00652003288269043,1,640,480,3
6,2.3001580032960693,0.02619481086730957,1,640,480,3
7,2.669773629462315,0.011052846908569336,1,640,480,3
8,3.020491802540839,0.008867502212524414,1,640,480,3
9,3.3527225773858707,0.011753559112548828,1,640,480,3
10,3.6638138043965722,0.027292251586914062,1,640,480,3
11,4.009186379417213,0.013352632522583008,1,640,480,3
12,4.328910758552049,0.00891423225402832,1,640,480,3
13,4.637160299389062,0.011177301406860352,1,640,480,3
14,4.908746860572468,0.030308008193969727,1,640,480,3
15,5.2057056223420535,0.02796649932861328,1,640,480,3
16,5.5001900634282395,0.026805877685546875,1,640,480,3
17,5.774969091519474,0.03408241271972656,1,640,480,3
18,6.073559462339252,0.019257068634033203,1,640,480,3
19,6.365716607232536,0.014438867568969727,1,640,480,3
20,6.632645590171745,0.015818119049072266,1,640,480,3
21,6.901715548381536,0.014886617660522461,1,640,480,3
22,7.14726680312422,0.017657995223999023,1,640,480,3
23,7.401819898420527,0.018267393112182617,1,640,480,3
24,7.64126781075964,0.023033618927001953,1,640,480,3
25,7.879840133126206,0.022519588470458984,1,640,480,3
26,8.121710476093728,0.022867918014526367,1,640,480,3
27,8.36105676960032,0.022696733474731445,1,640,480,3
28,8.585582104169033,0.022282838821411133,1,640,480,3
29,8.812529568948666,0.023433685302734375,1,640,480,3
30,9.03975869286316,0.022968292236328125,1,640,480,3
31,9.252467953623883,0.022614479064941406,1,640,480,3
32,9.470992037937673,0.0226747989654541,1,640,480,3
33,9.686037454134405,0.022366046905517578,1,640,480,3
34,9.88461274002045,0.02288961410522461,1,640,480,3
35,10.090497899288472,0.02339911460876465,1,640,480,3
36,10.296594399883475,0.022930622100830078,1,640,480,3
37,10.485362548081792,0.02275562286376953,1,640,480,3
38,10.68712727395617,0.021613359451293945,1,640,480,3
39,10.87835277847199,0.02258133888244629,1,640,480,3
40,11.068077132889696,0.023438215255737305,1,640,480,3
41,11.244008635251886,0.023326873779296875,1,640,480,3
42,11.430053903214027,0.023258686065673828,1,640,480,3
43,11.61158633114901,0.023102760314941406,1,640,480,3
44,11.77473938212237,0.024988889694213867,1,640,480,3
45,11.955962829931487,0.02372121810913086,1,640,480,3
46,12.132104364855314,0.023194313049316406,1,640,480,3
47,12.291206112897717,0.023206233978271484,1,640,480,3
48,12.464638164615504,0.022080183029174805,1,640,480,3
49,12.627539528628391,0.023183345794677734,1,640,480,3
50,12.775971753319897,0.023955106735229492,1,640,480,3
51,12.940652533206212,0.02293229103088379,1,640,480,3
52,13.098250053899468,0.023407936096191406,1,640,480,3
53,13.243078198866495,0.02347588539123535,1,640,480,3
54,13.400109488180915,0.022960662841796875,1,640,480,3
55,13.55326967806282,0.023091554641723633,1,640,480,3
56,13.703558685724301,0.023126602172851562,1,640,480,3
57,13.838724538764323,0.023331642150878906,1,640,480,3
58,13.985623766547409,0.02315497398376465,1,640,480,3
59,14.130280184621457,0.0233609676361084,1,640,480,3
60,14.258797684739438,0.02338099479675293,1,640,480,3
61,14.399361200374194,0.023434162139892578,1,640,480,3
62,14.540802164355162,0.02221202850341797,1,640,480,3
63,14.656302063160599,0.02449631690979004,1,640,480,3
64,14.799356875353224,0.021909713745117188,1,640,480,3
65,14.927787183435141,0.023621320724487305,1,640,480,3
66,15.019319361697521,0.031099319458007812,1,640,480,3
67,15.135277811140236,0.03160524368286133,1,640,480,3
68,15.248904421312146,0.03179502487182617,1,640,480,3
69,15.373506159108128,0.028185129165649414,1,640,480,3
70,15.497161936243709,0.027739763259887695,1,640,480,3
71,15.619565931175963,0.02787160873413086,1,640,480,3
72,15.74511825031885,0.026587247848510742,1,640,480,3
73,15.893484279743502,0.019646406173706055,1,640,480,3
74,16.03075225333153,0.01983475685119629,1,640,480,3
75,16.14666007535794,0.019971132278442383,1,640,480,3
